Asunto;Descripción;Categoría;Urgencia
Problema con el acceso web remoto;Vine aquí en busca de ayuda con respecto a la conectividad remota a mi servidor.;4;3
Error de acceso;No puedo ingresar a mi computadora;4;3
Embalaje del portátil dañado;Llegué a saber que el empaque estaba severamente dañado en un lado.;1;3
Caducidad de las licencias empresariales;Tenemos una computadora que siempre tuvo una licencia;3;3
Licencia perdida;Después de un largo corte de energía perdí la licencia;3;3
Requisitos de licencia;¿Qué licencias necesito?;3;3
¿Puedo cambiar mi pedido?;No podemos realizar ningún cambio;0;3
¿Puedo cancelar mi pedido?;Verificar si aún es posible cancelar pedido;0;3
¿Cuál es la política de devolución?;El pedido tiene un error;0;3
Si devuelvo un pedido, ¿se me reembolsarán los gastos de envío?;Devolver los productos que compré dentro del plazo establecido;0;3
Acceso denegado;Hola, chicos: he intentado buscar una solución pero nadie parece tener el problema que estoy teniendo.;4;0
No me deja acceder a la bios;Dice que necesito ingresar al modo de configuración.;4;1
Sin acceso;Esta mañana, de repente, todas mis máquinas virtuales están inaccesibles.;4;2
Ya no es accesible;¿Hay alguna posibilidad de recuperar sin reiniciar?;4;1
No se puede acceder a la interfaz web;Ya no se puede acceder a la interfaz web;4;0
Acceso serie XYZ;Quiero usar una conexión serial.;4;1
Producto dañado;3 días surgió un problema con la pantalla;1;2
Licencia;Al revisar publicaciones anteriores, obtuve información contradictoria sobre esto.;3;1
Televisor dañado;Recibí un televisor dañado;1;2
Obtención de información de licencia;Podemos obtener información sobre la licencia;3;1
El técnico dañó mi computadora portátil;Tengo una suscripción de soporte premium.;1;1
Servicio in situ PC dañada;Hace seis semanas, la nueva estación de trabajo de gama alta de nuestra empresa falló;1;1
TV dañado durante el envío;Recibí mi pedido ayer y el televisor tiene una abolladura;1;2
Laptop dañada;Hola, envié mi computadora a reparar por garantía y no se arregló;1;0
¿Tiene almacenamiento en la nube?;Quiero saber si  tiene un almacenamiento en la nube, ¿qué nube tiene?;2;1
Todo lo relacionado con CLOUD;El objetivo de esta discusión será centrarse en todo lo relacionado con la nube;2;1
Clave de licencia;Me puse en contacto con el soporte para intentar obtener una extensión de licencia;3;2
Error con el complemento Cloud;Recibo el siguiente error cuando intento activar el complemento Cloud;2;0
